xi,pxi,atan xi,RelativeError
-5,-1.380448234,-1.373400767,0.005131399
-4.9,-1.353023693,-1.369479218,-0.0120159
-4.8,-1.340682644,-1.365400938,-0.018103323
-4.7,-1.337820837,-1.361156481,-0.017143983
-4.6,-1.340188604,-1.356735643,-0.012196214
-4.5,-1.344664758,-1.352127381,-0.005519171
-4.4,-1.349056379,-1.347319726,0.001288969
-4.3,-1.351922527,-1.342299688,0.00716892
-4.2,-1.352419981,-1.337053146,0.011493062
-4.1,-1.350169227,-1.331564727,0.013971908
-4,-1.345138972,-1.325817664,0.014573127
-3.9,-1.33754758,-1.31979364,0.013452058
-3.8,-1.327779876,-1.313472612,0.010892701
-3.7,-1.316317878,-1.306832603,0.007258217
-3.6,-1.30368408,-1.299849476,0.002950036
-3.5,-1.29039598,-1.292496668,-0.001625294
-3.4,-1.276930646,-1.284744885,-0.006082328
-3.3,-1.263698157,-1.276561762,-0.010076758
-3.2,-1.251022867,-1.267911458,-0.013320008
-3.1,-1.239131462,-1.258754205,-0.015589019
-3,-1.228146891,-1.249045772,-0.016731878
-2.9,-1.218087295,-1.238736859,-0.016669855
-2.8,-1.208869126,-1.227772386,-0.015396388
-2.7,-1.200313711,-1.216090675,-0.01297351
-2.6,-1.192156575,-1.203622493,-0.009526175
-2.5,-1.184058905,-1.19028995,-0.005234896
-2.4,-1.175620572,-1.176005207,-0.00032707
-2.3,-1.166394196,-1.160668986,0.004932681
-2.2,-1.155899801,-1.144168834,0.010252829
-2.1,-1.14363963,-1.126377117,0.015325696
-2,-1.12911276,-1.107148718,0.019838384
-1.9,-1.111829194,-1.086318398,0.02348372
-1.8,-1.091323161,-1.063697822,0.02597104
-1.7,-1.067165368,-1.03907226,0.027036723
-1.6,-1.038974038,-1.012197011,0.026454363
-1.5,-1.006424552,-0.982793723,0.024044546
-1.4,-0.969257582,-0.950546841,0.019684186
-1.3,-0.927285639,-0.915100701,0.013315408
-1.2,-0.88039796,-0.876058051,0.004953906
-1.1,-0.828563725,-0.832981267,-0.005303291
-1,-0.771833599,-0.785398163,-0.01727094
-0.9,-0.710339636,-0.732815102,-0.030670037
-0.8,-0.64429358,-0.674740942,-0.045124522
-0.7,-0.573983663,-0.610725964,-0.060161683
-0.6,-0.49976997,-0.5404195,-0.075218474
-0.5,-0.422078503,-0.463647609,-0.089656681
-0.4,-0.341394058,-0.380506377,-0.102790179
-0.3,-0.258252069,-0.291456794,-0.113926752
-0.2,-0.173229564,-0.19739556,-0.122424214
-0.1,-0.086935409,-0.099668652,-0.127755754
0.1,0.086935409,0.099668652,-0.127755754
0.2,0.173229564,0.19739556,-0.122424214
0.3,0.258252069,0.291456794,-0.113926752
0.4,0.341394058,0.380506377,-0.102790179
0.5,0.422078503,0.463647609,-0.089656681
0.6,0.49976997,0.5404195,-0.075218474
0.7,0.573983663,0.610725964,-0.060161683
0.8,0.64429358,0.674740942,-0.045124522
0.9,0.710339636,0.732815102,-0.030670037
1,0.771833599,0.785398163,-0.01727094
1.1,0.828563725,0.832981267,-0.005303291
1.2,0.88039796,0.876058051,0.004953906
1.3,0.927285639,0.915100701,0.013315408
1.4,0.969257582,0.950546841,0.019684186
1.5,1.006424552,0.982793723,0.024044546
1.6,1.038974038,1.012197011,0.026454363
1.7,1.067165368,1.03907226,0.027036723
1.8,1.091323161,1.063697822,0.02597104
1.9,1.111829194,1.086318398,0.02348372
2,1.12911276,1.107148718,0.019838384
2.1,1.14363963,1.126377117,0.015325696
2.2,1.155899801,1.144168834,0.010252829
2.3,1.166394196,1.160668986,0.004932681
2.4,1.175620572,1.176005207,-0.00032707
2.5,1.184058905,1.19028995,-0.005234896
2.6,1.192156575,1.203622493,-0.009526175
2.7,1.200313711,1.216090675,-0.01297351
2.8,1.208869126,1.227772386,-0.015396388
2.9,1.218087295,1.238736859,-0.016669855
3,1.228146891,1.249045772,-0.016731878
3.1,1.239131462,1.258754205,-0.015589019
3.2,1.251022867,1.267911458,-0.013320008
3.3,1.263698157,1.276561762,-0.010076758
3.4,1.276930646,1.284744885,-0.006082328
3.5,1.29039598,1.292496668,-0.001625294
3.6,1.30368408,1.299849476,0.002950036
3.7,1.316317878,1.306832603,0.007258217
3.8,1.327779876,1.313472612,0.010892701
3.9,1.33754758,1.31979364,0.013452058
4,1.345138972,1.325817664,0.014573127
4.1,1.350169227,1.331564727,0.013971908
4.2,1.352419981,1.337053146,0.011493062
4.3,1.351922527,1.342299688,0.00716892
4.4,1.349056379,1.347319726,0.001288969
4.5,1.344664758,1.352127381,-0.005519171
4.6,1.340188604,1.356735643,-0.012196214
4.7,1.337820837,1.361156481,-0.017143983
4.8,1.340682644,1.365400938,-0.018103323
4.9,1.353023693,1.369479218,-0.0120159
5,1.380448234,1.373400767,0.005131399
