xi,pxi,log xi,RelativeError
1.02,0.033965752,0.019802627,0.71521445
1.04,0.050223869,0.039220713,0.280544507
1.06,0.066367028,0.058268908,0.138978406
1.08,0.08239523,0.076961041,0.070609611
1.1,0.098308476,0.09531018,0.031458295
1.12,0.114106764,0.113328685,0.00686568
1.14,0.129790095,0.131028262,-0.00944962
1.16,0.145358469,0.148420005,-0.020627514
1.18,0.160811887,0.165514438,-0.028411732
1.2,0.176150347,0.182321557,-0.033847945
1.22,0.19137385,0.198850859,-0.037601089
1.24,0.206482396,0.21511138,-0.040114026
1.26,0.221475985,0.231111721,-0.041692977
1.28,0.236354617,0.246860078,-0.042556336
1.3,0.251118293,0.262364264,-0.042863962
1.32,0.265767011,0.277631737,-0.042735481
1.34,0.280300772,0.292669614,-0.042262133
1.36,0.294719576,0.3074847,-0.041514663
1.38,0.309023423,0.322083499,-0.040548727
1.4,0.323212313,0.336472237,-0.03940867
1.42,0.337286246,0.350656872,-0.038130225
1.44,0.351245222,0.364643114,-0.036742477
1.46,0.365089242,0.378436436,-0.035269316
1.48,0.378818304,0.392042088,-0.033730522
1.5,0.392432409,0.405465108,-0.032142592
1.52,0.405931557,0.418710335,-0.030519376
1.54,0.419315748,0.431782416,-0.028872572
1.56,0.432584982,0.444685821,-0.02721211
1.58,0.445739259,0.457424847,-0.025546466
1.6,0.458778579,0.470003629,-0.023882902
1.62,0.471702942,0.482426149,-0.022227666
1.64,0.484512348,0.494696242,-0.020586156
1.66,0.497206797,0.506817602,-0.018963046
1.68,0.509786289,0.518793793,-0.017362399
1.7,0.522250824,0.530628251,-0.015787752
1.72,0.534600402,0.542324291,-0.014242197
1.74,0.546835022,0.553885113,-0.012728435
1.76,0.558954686,0.565313809,-0.011248837
1.78,0.570959393,0.576613364,-0.00980548
1.8,0.582849143,0.587786665,-0.008400193
1.82,0.594623936,0.598836501,-0.007034583
1.84,0.606283772,0.609765572,-0.005710063
1.86,0.617828651,0.620576488,-0.004427878
1.88,0.629258573,0.631271777,-0.003189124
1.9,0.640573538,0.641853886,-0.001994766
1.92,0.651773545,0.652325186,-0.000845653
1.94,0.662858596,0.662687973,0.000257471
1.96,0.67382869,0.672944473,0.001313952
1.98,0.684683827,0.683096845,0.002323217
2,0.695424007,0.693147181,0.003284766
2.02,0.706049229,0.703097511,0.004198163
2.04,0.716559495,0.712949808,0.005063032
2.06,0.726954804,0.722705983,0.005879045
2.08,0.737235156,0.732367894,0.006645925
2.1,0.74740055,0.741937345,0.007363433
2.12,0.757450988,0.751416089,0.008031369
2.14,0.767386469,0.760805829,0.008649566
2.16,0.777206993,0.770108222,0.009217888
2.18,0.786912559,0.779324877,0.009736225
2.2,0.796503169,0.78845736,0.010204494
2.22,0.805978822,0.797507196,0.010622633
2.24,0.815339517,0.806475866,0.010990597
2.26,0.824585256,0.815364813,0.011308365
2.28,0.833716038,0.824175443,0.011575927
2.3,0.842731862,0.832909123,0.011793291
2.32,0.85163273,0.841567186,0.011960476
2.34,0.860418641,0.850150929,0.012077516
2.36,0.869089594,0.858661619,0.012144452
2.38,0.877645591,0.867100488,0.012161339
2.4,0.88608663,0.875468737,0.012128238
2.42,0.894412713,0.88376754,0.012045218
2.44,0.902623839,0.891998039,0.011912357
2.46,0.910720007,0.90016135,0.011729738
2.48,0.918701219,0.90825856,0.011497451
2.5,0.926567473,0.916290732,0.01121559
2.52,0.934318771,0.924258902,0.010884255
2.54,0.941955111,0.932164081,0.010503548
2.56,0.949476495,0.940007258,0.010073578
2.58,0.956882921,0.947789399,0.009594455
2.6,0.964174391,0.955511445,0.009066292
2.62,0.971350903,0.963174318,0.008489206
2.64,0.978412459,0.970778917,0.007863316
2.66,0.985359057,0.978326123,0.007188742
2.68,0.992190699,0.985816795,0.006465607
2.7,0.998907383,0.993251773,0.005694035
2.72,1.005509111,1.00063188,0.00487415
2.74,1.011995881,1.00795792,0.00400608
2.76,1.018367694,1.01523068,0.003089953
2.78,1.024624551,1.022450928,0.002125895
2.8,1.03076645,1.029619417,0.001114036
2.82,1.036793393,1.036736885,5.45E-05
2.84,1.042705378,1.043804052,-0.001052568
2.86,1.048502406,1.050821625,-0.002207053
2.88,1.054184478,1.057790294,-0.00340882
2.9,1.059751592,1.064710737,-0.004657739
2.92,1.065203749,1.071583616,-0.005953681
2.94,1.07054095,1.078409581,-0.007296515
2.96,1.075763193,1.085189268,-0.008686112
2.98,1.080870479,1.091923301,-0.010122342
3,1.085862808,1.098612289,-0.011605077
